cluster: 2 	 Sillhoute: 0.0014
cluster: 3 	 Sillhoute: 0.0018
cluster: 4 	 Sillhoute: 0.0023
cluster: 5 	 Sillhoute: 0.0025
cluster: 6 	 Sillhoute: 0.0034
cluster: 7 	 Sillhoute: 0.0036
cluster: 8 	 Sillhoute: 0.0040
cluster: 9 	 Sillhoute: 0.0042
cluster: 10 	 Sillhoute: 0.0047
cluster: 11 	 Sillhoute: 0.0047
cluster: 12 	 Sillhoute: 0.0050
cluster: 13 	 Sillhoute: 0.0054
cluster: 14 	 Sillhoute: 0.0058
cluster: 15 	 Sillhoute: 0.0061
cluster: 16 	 Sillhoute: 0.0063
cluster: 17 	 Sillhoute: 0.0064
cluster: 18 	 Sillhoute: 0.0064
cluster: 19 	 Sillhoute: 0.0062
cluster: 20 	 Sillhoute: 0.0067
cluster: 21 	 Sillhoute: 0.0070
cluster: 22 	 Sillhoute: 0.0069
cluster: 23 	 Sillhoute: 0.0070
cluster: 24 	 Sillhoute: 0.0073
cluster: 25 	 Sillhoute: 0.0072
cluster: 26 	 Sillhoute: 0.0075
cluster: 27 	 Sillhoute: 0.0075
cluster: 28 	 Sillhoute: 0.0074
cluster: 29 	 Sillhoute: 0.0076
Silhouette score is 0.00749901068120096
